title;topik;contentSnippet;isoDate;link;sumber
Mencari Akar Masalah Pendanaan Proyek EBT Tak Menarik Buat Bank;ekonomi;Upaya mendorong bertambahnya proyek-proyek baru energi baru dan terbarukan (EBT) diduga berjalan lambat akibat sulitnya mendapat pendanaan.;2025-02-28T10:04:56.000Z;https://www.cnnindonesia.com/ekonomi/20250228153623-85-1203584/mencari-akar-masalah-pendanaan-proyek-ebt-tak-menarik-buat-bank;cnn
Prabowo Jadi Bentuk Badan Penerimaan Negara, Ini Sinyalnya;ekonomi;Presiden Prabowo Subianto masih berkeinginan membentuk Badan Penerimaan Negara. Keinginan tercermin dari terbitnya Perpres Nomor 1 Tahun 2025.;2025-02-28T09:45:18.000Z;https://www.cnnindonesia.com/ekonomi/20250228125413-532-1203496/prabowo-jadi-bentuk-badan-penerimaan-negara-ini-sinyalnya;cnn
IHSG Terbakar 3,31 Persen ke 6.270 Akhir Pekan Ini;ekonomi;IHSG ditutup di level 6.270 pada Jumat (28/2) sore. Indeks saham melemah 214,85 poin atau minus 3,31 persen dari perdagangan sebelumnya.;2025-02-28T09:24:40.000Z;https://www.cnnindonesia.com/ekonomi/20250228161649-92-1203600/ihsg-terbakar-331-persen-ke-6270-akhir-pekan-ini;cnn
Bagaimana Nasib Investor Saham Sritex Jika SRIL Didepak dari Bursa?;ekonomi;Pengamat menyebut prioritas utama perusahaan pailit adalah melunasi utang dengen menjual aset. Peluang investor mendapatkan kembali dana mereka sangat kecil.;2025-02-28T09:02:19.000Z;https://www.cnnindonesia.com/ekonomi/20250228144017-92-1203551/bagaimana-nasib-investor-saham-sritex-jika-sril-didepak-dari-bursa;cnn
Mengintip Besaran Gaji dan Tunjangan Wali Kota Per Bulannya;ekonomi;Wali kota adalah jabatan yang bertanggung jawab atas pemerintahan daerah tingkat kota. Tahukah kamu, berapa besaran gaji wali kota dan tunjangannya sebulan?;2025-02-28T09:00:40.000Z;https://www.cnnindonesia.com/ekonomi/20250225114902-537-1202182/mengintip-besaran-gaji-dan-tunjangan-wali-kota-per-bulannya;cnn
Rupiah Muram di Rp16.595 per Dolar AS Akhir Pekan Ini;ekonomi;Rupiah ditutup di level Rp16.595 per dolar AS pada Jumat (28/2) turun 141 poin atau minus 0,86 persen dibandingkan penutupan perdagangan sebelumnya.;2025-02-28T08:38:53.000Z;https://www.cnnindonesia.com/ekonomi/20250228153501-78-1203583/rupiah-muram-di-rp16595-per-dolar-as-akhir-pekan-ini;cnn
Diskon Tarif Listrik 50 Persen Tak Diperpanjang, Mulai Maret Normal;ekonomi;Kementerian ESDM memastikan diskon 50 persen untuk token listrik tidak diperpanjang. Diskon hanya berlaku Januari-Februari 2025, sesuai rencana awal.;2025-02-28T08:08:33.000Z;https://www.cnnindonesia.com/ekonomi/20250228140725-85-1203530/diskon-tarif-listrik-50-persen-tak-diperpanjang-mulai-maret-normal;cnn
Si MAKMUR', Jalan Baru Petani Hidup Makmur dan Berkelanjutan;ekonomi;Sejumlah petani merasa kehadiran Program MAKMUR membantu mereka dalam meningkatkan produktivitas hasil panen dan keuntungan.;2025-02-28T07:49:30.000Z;https://www.cnnindonesia.com/ekonomi/20250228135900-97-1203526/si-makmur-jalan-baru-petani-hidup-makmur-dan-berkelanjutan;cnn
Aturan Beli Pupuk Subsidi 2025;ekonomi;Aturan baru agar petani dapat membeli pupuk subsidi yakni harus terdaftar dalam e-RDKK yang diperbarui setiap empat bulan sekali.;2025-02-28T07:30:54.000Z;https://www.cnnindonesia.com/ekonomi/20250228130224-92-1203497/aturan-beli-pupuk-subsidi-2025;cnn
Bolehkah Cetak Kartu BPJS Kesehatan Sendiri?;ekonomi;Peserta yang kehilangan kartu atau lupa kartu BPJS Kesehatannya, mungkin bertanya-tanya bolehkah cetak kartu BPJS sendiri.;2025-02-28T07:00:30.000Z;https://www.cnnindonesia.com/ekonomi/20250225162935-83-1202334/bolehkah-cetak-kartu-bpjs-kesehatan-sendiri;cnn
Airlangga soal Sritex Tutup 1 Maret: Kami Tanya ke Kurator;ekonomi;Menko Perekonomian Airlangga Hartarto menyebut pemerintah telah mendelegasikan tugas masalah pailit Sritex kepada Menaker Yassierli.;2025-02-28T06:32:53.000Z;https://www.cnnindonesia.com/ekonomi/20250228132317-92-1203507/airlangga-soal-sritex-tutup-1-maret-kami-tanya-ke-kurator;cnn
BEI Ungkap Nasib SRIL di Bursa Saham Buntut Sritex Tutup Besok;ekonomi;BEI membuka kemungkinan untuk menghapus (delisting) emiten SRIL dari perdagangan bursa. Saat ini, saham Sritex masih dalam status suspensi.;2025-02-28T06:03:18.000Z;https://www.cnnindonesia.com/ekonomi/20250228123630-92-1203482/bei-ungkap-nasib-sril-di-bursa-saham-buntut-sritex-tutup-besok;cnn
Kemnaker Jamin Hak Buruh Sritex Korban PHK Dipenuhi;ekonomi;Kemnaker menjamin seluruh karyawan Sritex yang menjadi korban PHK mendapatkan hak pesangon dan Jaminan Kehilangan Pekerjaan (JKP).;2025-02-28T05:42:21.000Z;https://www.cnnindonesia.com/ekonomi/20250228122400-92-1203479/kemnaker-jamin-hak-buruh-sritex-korban-phk-dipenuhi;cnn
1.100 Karyawan Terancam PHK Imbas Yamaha Tutup 2 Pabrik Piano;ekonomi;Dua pabrik yang akan tutup adalah PT Yamaha Music Product Asia di kawasan MM2100, Bekasi dan PT Yamaha Indonesia di Pulo Gadung, Jakarta.;2025-02-28T05:21:54.000Z;https://www.cnnindonesia.com/ekonomi/20250228121024-92-1203476/1100-karyawan-terancam-phk-imbas-yamaha-tutup-2-pabrik-piano;cnn
Jaga Kinerja, BRI Fokus pada Pengelolaan Risiko Jangka Panjang;ekonomi;Fokus terhadap pengelolaan risiko jangka panjang itu antara lain dilakukan BRI melalui penyediaan cadangan yang cukup guna menjaga kesolidan kinerja.;2025-02-28T05:20:45.000Z;https://www.cnnindonesia.com/ekonomi/20250228120345-625-1203474/jaga-kinerja-bri-fokus-pada-pengelolaan-risiko-jangka-panjang;cnn
Pemkab Sukoharjo Siapkan 8.000 Lowongan untuk Korban PHK Sritex;ekonomi;Sritex memecat seluruh karyawannya di Sukoharjo. Pemkab kini menyiapkan 8.000 lowongan dari perusahaan lain untuk para korban PHK Sritex.;2025-02-28T05:17:10.000Z;https://www.cnnindonesia.com/ekonomi/20250228115659-92-1203472/pemkab-sukoharjo-siapkan-8000-lowongan-untuk-korban-phk-sritex;cnn
Dua Alasan Bank Emas Pegadaian Bisa Tambah PDB Hingga Rp245 Triliun;ekonomi;Direktur BRI Sunarso menjelaskan dua alasan yang saling berhubungan terkait layanan Bank Emas Pegadaian yang diharapkan dapat mendorong PDB.;2025-02-28T05:06:27.000Z;https://www.cnnindonesia.com/ekonomi/20250228113927-625-1203461/dua-alasan-bank-emas-pegadaian-bisa-tambah-pdb-hingga-rp245-triliun;cnn
Profil Sritex, Raksasa Tekstil yang Tutup Total Besok;ekonomi;Sritex didirikan pada 1966 di Pasar Klewer, Solo, Jateng. Raksasa tekstil ini pernah membuat seragam NATO, tetapi akhirnya tutup usai terlilit utang dan pailit.;2025-02-28T04:52:56.000Z;https://www.cnnindonesia.com/ekonomi/20250228113633-92-1203459/profil-sritex-raksasa-tekstil-yang-tutup-total-besok;cnn
Harga Minyak Turun Imbas Was-was Ancaman Tarif Trump;ekonomi;Harga minyak turun karena pasar ketakutan perlambatan ekonomi dan tarif impor AS hingga rencana OPEC+ untuk meningkatkan pasokan.;2025-02-28T04:36:33.000Z;https://www.cnnindonesia.com/ekonomi/20250228111817-85-1203444/harga-minyak-turun-imbas-was-was-ancaman-tarif-trump;cnn
