"topik","contentSnippet"
"ekonomi","Upaya mendorong bertambahnya proyek-proyek baru energi baru dan terbarukan (EBT) diduga berjalan lambat akibat sulitnya mendapat pendanaan."
"ekonomi","Presiden Prabowo Subianto masih berkeinginan membentuk Badan Penerimaan Negara. Keinginan tercermin dari terbitnya Perpres Nomor 1 Tahun 2025."
"ekonomi","IHSG ditutup di level 6.270 pada Jumat (28/2) sore. Indeks saham melemah 214,85 poin atau minus 3,31 persen dari perdagangan sebelumnya."
"ekonomi","Pengamat menyebut prioritas utama perusahaan pailit adalah melunasi utang dengen menjual aset. Peluang investor mendapatkan kembali dana mereka sangat kecil."
"ekonomi","Wali kota adalah jabatan yang bertanggung jawab atas pemerintahan daerah tingkat kota. Tahukah kamu, berapa besaran gaji wali kota dan tunjangannya sebulan?"
"ekonomi","Rupiah ditutup di level Rp16.595 per dolar AS pada Jumat (28/2) turun 141 poin atau minus 0,86 persen dibandingkan penutupan perdagangan sebelumnya."
"ekonomi","Kementerian ESDM memastikan diskon 50 persen untuk token listrik tidak diperpanjang. Diskon hanya berlaku Januari-Februari 2025, sesuai rencana awal."
"ekonomi","Sejumlah petani merasa kehadiran Program MAKMUR membantu mereka dalam meningkatkan produktivitas hasil panen dan keuntungan."
"ekonomi","Aturan baru agar petani dapat membeli pupuk subsidi yakni harus terdaftar dalam e-RDKK yang diperbarui setiap empat bulan sekali."
"ekonomi","Peserta yang kehilangan kartu atau lupa kartu BPJS Kesehatannya, mungkin bertanya-tanya bolehkah cetak kartu BPJS sendiri."
"ekonomi","Menko Perekonomian Airlangga Hartarto menyebut pemerintah telah mendelegasikan tugas masalah pailit Sritex kepada Menaker Yassierli."
"ekonomi","BEI membuka kemungkinan untuk menghapus (delisting) emiten SRIL dari perdagangan bursa. Saat ini, saham Sritex masih dalam status suspensi."
"ekonomi","Kemnaker menjamin seluruh karyawan Sritex yang menjadi korban PHK mendapatkan hak pesangon dan Jaminan Kehilangan Pekerjaan (JKP)."
"ekonomi","Dua pabrik yang akan tutup adalah PT Yamaha Music Product Asia di kawasan MM2100, Bekasi dan PT Yamaha Indonesia di Pulo Gadung, Jakarta."
"ekonomi","Fokus terhadap pengelolaan risiko jangka panjang itu antara lain dilakukan BRI melalui penyediaan cadangan yang cukup guna menjaga kesolidan kinerja."
"ekonomi","Sritex memecat seluruh karyawannya di Sukoharjo. Pemkab kini menyiapkan 8.000 lowongan dari perusahaan lain untuk para korban PHK Sritex."
"ekonomi","Direktur BRI Sunarso menjelaskan dua alasan yang saling berhubungan terkait layanan Bank Emas Pegadaian yang diharapkan dapat mendorong PDB."
"ekonomi","Sritex didirikan pada 1966 di Pasar Klewer, Solo, Jateng. Raksasa tekstil ini pernah membuat seragam NATO, tetapi akhirnya tutup usai terlilit utang dan pailit."
"ekonomi","Harga minyak turun karena pasar ketakutan perlambatan ekonomi dan tarif impor AS hingga rencana OPEC+ untuk meningkatkan pasokan."
"ekonomi","Sritex awalnya gagal membayar utang sehingga digugat PKPU oleh kreditur dan divonis pailit oleh pengadilan dan putusannya dikuatkan oleh MA."
"ekonomi","Antrean di SPBU Shell tampak mengular. SPBU swasta ini mendadak ramai dan jadi 'primadona' pilihan masyarakat usai mencuat isu BBM oplosan."
"ekonomi","Dirut ID Food Sis Apik berharap mendapat suntikan dana untuk mencapai swasembada pangan usai bergabung ke Danantara."
"ekonomi","Badan Pemeriksa Keuangan (BPK) mengungkapkan uang negara selama ini ternyata banyak mengendap di bank."
"ekonomi","Sritex resmi menjadi milik kurator menyusul penutupan perusahaan pada Sabtu (1/3) besok. Seluruh karyawan di-PHK pada Rabu kemarin (26/2)."
"ekonomi","Sebagian masyarakat mungkin tengah menanti kabar pendaftaran CPNS 2025 kapan dibuka. Ketahui perkiraan waktunya untuk bersiap-siap."
