"topik","contentSnippet","preprocessedContent"
"ekonomi","Upaya mendorong bertambahnya proyek-proyek baru energi baru dan terbarukan (EBT) diduga berjalan lambat akibat sulitnya mendapat pendanaan.","upaya dorong tambah proyek baru energi baru baru ebt duga jalan lambat akibat sulit dapat dana"
"ekonomi","Presiden Prabowo Subianto masih berkeinginan membentuk Badan Penerimaan Negara. Keinginan tercermin dari terbitnya Perpres Nomor 1 Tahun 2025.","presiden prabowo subianto ingin bentuk badan terima negara ingin cermin terbit pres nomor tahun"
"ekonomi","IHSG ditutup di level 6.270 pada Jumat (28/2) sore. Indeks saham melemah 214,85 poin atau minus 3,31 persen dari perdagangan sebelumnya.","ihsg tutup level jumat sore indeks saham lemah poin minus persen dagang belum"
"ekonomi","Pengamat menyebut prioritas utama perusahaan pailit adalah melunasi utang dengen menjual aset. Peluang investor mendapatkan kembali dana mereka sangat kecil.","amat sebut prioritas utama usaha pailit lunas utang dengen jual aset peluang investor dapat dana sangat kecil"
"ekonomi","Wali kota adalah jabatan yang bertanggung jawab atas pemerintahan daerah tingkat kota. Tahukah kamu, berapa besaran gaji wali kota dan tunjangannya sebulan?","wali kota jabat tanggung jawab atas perintah daerah tingkat kota tahu kamu berapa besar gaji wali kota tunjang bulan"
"ekonomi","Rupiah ditutup di level Rp16.595 per dolar AS pada Jumat (28/2) turun 141 poin atau minus 0,86 persen dibandingkan penutupan perdagangan sebelumnya.","rupiah tutup level rp16 per dolar as jumat turun poin minus persen banding tutup dagang belum"
"ekonomi","Kementerian ESDM memastikan diskon 50 persen untuk token listrik tidak diperpanjang. Diskon hanya berlaku Januari-Februari 2025, sesuai rencana awal.","menteri esdm pasti diskon persen token listrik panjang diskon laku januari februari sesuai rencana awal"
"ekonomi","Sejumlah petani merasa kehadiran Program MAKMUR membantu mereka dalam meningkatkan produktivitas hasil panen dan keuntungan.","jumlah tani rasa hadir program makmur bantu tingkat produktivitas hasil panen untung"
"ekonomi","Aturan baru agar petani dapat membeli pupuk subsidi yakni harus terdaftar dalam e-RDKK yang diperbarui setiap empat bulan sekali.","atur baru tani beli pupuk subsidi daftar e rdkk baru empat bulan sekali"
"ekonomi","Peserta yang kehilangan kartu atau lupa kartu BPJS Kesehatannya, mungkin bertanya-tanya bolehkah cetak kartu BPJS sendiri.","serta hilang kartu lupa kartu bpjs sehat mungkin tanya tanya boleh cetak kartu bpjs sendiri"
"ekonomi","Menko Perekonomian Airlangga Hartarto menyebut pemerintah telah mendelegasikan tugas masalah pailit Sritex kepada Menaker Yassierli.","menko ekonomi airlangga hartarto sebut perintah delegasi tugas masalah pailit sritex menaker yassierli"
"ekonomi","BEI membuka kemungkinan untuk menghapus (delisting) emiten SRIL dari perdagangan bursa. Saat ini, saham Sritex masih dalam status suspensi.","bei buka mungkin hapus delisting emiten sril dagang bursa saham sritex status suspensi"
"ekonomi","Kemnaker menjamin seluruh karyawan Sritex yang menjadi korban PHK mendapatkan hak pesangon dan Jaminan Kehilangan Pekerjaan (JKP).","kemnaker jamin seluruh karyawan sritex jadi korban phk dapat hak sangon jamin hilang kerja jkp"
"ekonomi","Dua pabrik yang akan tutup adalah PT Yamaha Music Product Asia di kawasan MM2100, Bekasi dan PT Yamaha Indonesia di Pulo Gadung, Jakarta.","pabrik tutup pt yamaha music product asia kawasan mm2100 bekas pt yamaha indonesia pulo gadung jakarta"
"ekonomi","Fokus terhadap pengelolaan risiko jangka panjang itu antara lain dilakukan BRI melalui penyediaan cadangan yang cukup guna menjaga kesolidan kinerja.","fokus kelola risiko jangka panjang laku bri lalu sedia cadang cukup jaga solid kerja"
"ekonomi","Sritex memecat seluruh karyawannya di Sukoharjo. Pemkab kini menyiapkan 8.000 lowongan dari perusahaan lain untuk para korban PHK Sritex.","sritex pecat seluruh karyawannya sukoharjo pemkab kini siap lowong usaha korban phk sritex"
"ekonomi","Direktur BRI Sunarso menjelaskan dua alasan yang saling berhubungan terkait layanan Bank Emas Pegadaian yang diharapkan dapat mendorong PDB.","direktur bri sunarso jelas alas saling hubung kait layan bank emas gadai harap dorong pdb"
"ekonomi","Sritex didirikan pada 1966 di Pasar Klewer, Solo, Jateng. Raksasa tekstil ini pernah membuat seragam NATO, tetapi akhirnya tutup usai terlilit utang dan pailit.","sritex diri pasar klewer solo jateng raksasa tekstil pernah buat seragam nato akhir tutup usai lilit utang pailit"
