"topik","contentSnippet","preprocessedContent"
"ekonomi","Upaya mendorong bertambahnya proyek-proyek baru energi baru dan terbarukan (EBT) diduga berjalan lambat akibat sulitnya mendapat pendanaan.","upaya mendorong bertambahnya proyek baru energi baru terbarukan ebt diduga berjalan lambat akibat sulitnya mendapat pendanaan"
"ekonomi","Presiden Prabowo Subianto masih berkeinginan membentuk Badan Penerimaan Negara. Keinginan tercermin dari terbitnya Perpres Nomor 1 Tahun 2025.","presiden prabowo subianto berkeinginan membentuk badan penerimaan negara keinginan tercermin terbitnya perpres nomor tahun"
"ekonomi","IHSG ditutup di level 6.270 pada Jumat (28/2) sore. Indeks saham melemah 214,85 poin atau minus 3,31 persen dari perdagangan sebelumnya.","ihsg ditutup level jumat sore indeks saham melemah poin minus persen perdagangan sebelumnya"
"ekonomi","Pengamat menyebut prioritas utama perusahaan pailit adalah melunasi utang dengen menjual aset. Peluang investor mendapatkan kembali dana mereka sangat kecil.","pengamat menyebut prioritas utama perusahaan pailit melunasi utang dengen menjual aset peluang investor mendapatkan dana sangat kecil"
"ekonomi","Wali kota adalah jabatan yang bertanggung jawab atas pemerintahan daerah tingkat kota. Tahukah kamu, berapa besaran gaji wali kota dan tunjangannya sebulan?","wali kota jabatan bertanggung jawab atas pemerintahan daerah tingkat kota tahukah kamu berapa besaran gaji wali kota tunjangannya sebulan"
"ekonomi","Rupiah ditutup di level Rp16.595 per dolar AS pada Jumat (28/2) turun 141 poin atau minus 0,86 persen dibandingkan penutupan perdagangan sebelumnya.","rupiah ditutup level rp16 per dolar as jumat turun poin minus persen dibandingkan penutupan perdagangan sebelumnya"
"ekonomi","Kementerian ESDM memastikan diskon 50 persen untuk token listrik tidak diperpanjang. Diskon hanya berlaku Januari-Februari 2025, sesuai rencana awal.","kementerian esdm memastikan diskon persen token listrik diperpanjang diskon berlaku januari februari sesuai rencana awal"
"ekonomi","Sejumlah petani merasa kehadiran Program MAKMUR membantu mereka dalam meningkatkan produktivitas hasil panen dan keuntungan.","sejumlah petani merasa kehadiran program makmur membantu meningkatkan produktivitas hasil panen keuntungan"
"ekonomi","Aturan baru agar petani dapat membeli pupuk subsidi yakni harus terdaftar dalam e-RDKK yang diperbarui setiap empat bulan sekali.","aturan baru petani membeli pupuk subsidi terdaftar e rdkk diperbarui empat bulan sekali"
"ekonomi","Peserta yang kehilangan kartu atau lupa kartu BPJS Kesehatannya, mungkin bertanya-tanya bolehkah cetak kartu BPJS sendiri.","peserta kehilangan kartu lupa kartu bpjs kesehatannya mungkin bertanya tanya bolehkah cetak kartu bpjs sendiri"
"ekonomi","Menko Perekonomian Airlangga Hartarto menyebut pemerintah telah mendelegasikan tugas masalah pailit Sritex kepada Menaker Yassierli.","menko perekonomian airlangga hartarto menyebut pemerintah mendelegasikan tugas masalah pailit sritex menaker yassierli"
"ekonomi","BEI membuka kemungkinan untuk menghapus (delisting) emiten SRIL dari perdagangan bursa. Saat ini, saham Sritex masih dalam status suspensi.","bei membuka kemungkinan menghapus delisting emiten sril perdagangan bursa saham sritex status suspensi"
"ekonomi","Kemnaker menjamin seluruh karyawan Sritex yang menjadi korban PHK mendapatkan hak pesangon dan Jaminan Kehilangan Pekerjaan (JKP).","kemnaker menjamin seluruh karyawan sritex menjadi korban phk mendapatkan hak pesangon jaminan kehilangan pekerjaan jkp"
"ekonomi","Dua pabrik yang akan tutup adalah PT Yamaha Music Product Asia di kawasan MM2100, Bekasi dan PT Yamaha Indonesia di Pulo Gadung, Jakarta.","pabrik tutup pt yamaha music product asia kawasan mm2100 bekasi pt yamaha indonesia pulo gadung jakarta"
"ekonomi","Fokus terhadap pengelolaan risiko jangka panjang itu antara lain dilakukan BRI melalui penyediaan cadangan yang cukup guna menjaga kesolidan kinerja.","fokus pengelolaan risiko jangka panjang dilakukan bri melalui penyediaan cadangan cukup menjaga kesolidan kinerja"
"ekonomi","Sritex memecat seluruh karyawannya di Sukoharjo. Pemkab kini menyiapkan 8.000 lowongan dari perusahaan lain untuk para korban PHK Sritex.","sritex memecat seluruh karyawannya sukoharjo pemkab kini menyiapkan lowongan perusahaan korban phk sritex"
