"topik","contentSnippet","preprocessedContent"
"ekonomi","Upaya mendorong bertambahnya proyek-proyek baru energi baru dan terbarukan (EBT) diduga berjalan lambat akibat sulitnya mendapat pendanaan.","upaya mendorong bertambahnya proyek baru energi baru dan terbarukan ebt diduga berjalan lambat akibat sulitnya mendapat pendanaan"
"ekonomi","Presiden Prabowo Subianto masih berkeinginan membentuk Badan Penerimaan Negara. Keinginan tercermin dari terbitnya Perpres Nomor 1 Tahun 2025.","presiden prabowo subianto masih berkeinginan membentuk badan penerimaan negara keinginan tercermin dari terbitnya perpres nomor tahun"
"ekonomi","IHSG ditutup di level 6.270 pada Jumat (28/2) sore. Indeks saham melemah 214,85 poin atau minus 3,31 persen dari perdagangan sebelumnya.","ihsg ditutup di level pada jumat sore indeks saham melemah poin atau minus persen dari perdagangan sebelumnya"
"ekonomi","Pengamat menyebut prioritas utama perusahaan pailit adalah melunasi utang dengen menjual aset. Peluang investor mendapatkan kembali dana mereka sangat kecil.","pengamat menyebut prioritas utama perusahaan pailit adalah melunasi utang dengen menjual aset peluang investor mendapatkan kembali dana mereka sangat kecil"
"ekonomi","Wali kota adalah jabatan yang bertanggung jawab atas pemerintahan daerah tingkat kota. Tahukah kamu, berapa besaran gaji wali kota dan tunjangannya sebulan?","wali kota adalah jabatan yang bertanggung jawab atas pemerintahan daerah tingkat kota tahukah kamu berapa besaran gaji wali kota dan tunjangannya sebulan"
"ekonomi","Rupiah ditutup di level Rp16.595 per dolar AS pada Jumat (28/2) turun 141 poin atau minus 0,86 persen dibandingkan penutupan perdagangan sebelumnya.","rupiah ditutup di level rp16 per dolar as pada jumat turun poin atau minus persen dibandingkan penutupan perdagangan sebelumnya"
"ekonomi","Kementerian ESDM memastikan diskon 50 persen untuk token listrik tidak diperpanjang. Diskon hanya berlaku Januari-Februari 2025, sesuai rencana awal.","kementerian esdm memastikan diskon persen untuk token listrik tidak diperpanjang diskon hanya berlaku januari februari sesuai rencana awal"
"ekonomi","Sejumlah petani merasa kehadiran Program MAKMUR membantu mereka dalam meningkatkan produktivitas hasil panen dan keuntungan.","sejumlah petani merasa kehadiran program makmur membantu mereka dalam meningkatkan produktivitas hasil panen dan keuntungan"
"ekonomi","Aturan baru agar petani dapat membeli pupuk subsidi yakni harus terdaftar dalam e-RDKK yang diperbarui setiap empat bulan sekali.","aturan baru agar petani dapat membeli pupuk subsidi yakni harus terdaftar dalam e rdkk yang diperbarui setiap empat bulan sekali"
"ekonomi","Peserta yang kehilangan kartu atau lupa kartu BPJS Kesehatannya, mungkin bertanya-tanya bolehkah cetak kartu BPJS sendiri.","peserta yang kehilangan kartu atau lupa kartu bpjs kesehatannya mungkin bertanya tanya bolehkah cetak kartu bpjs sendiri"
"ekonomi","Menko Perekonomian Airlangga Hartarto menyebut pemerintah telah mendelegasikan tugas masalah pailit Sritex kepada Menaker Yassierli.","menko perekonomian airlangga hartarto menyebut pemerintah telah mendelegasikan tugas masalah pailit sritex kepada menaker yassierli"
"ekonomi","BEI membuka kemungkinan untuk menghapus (delisting) emiten SRIL dari perdagangan bursa. Saat ini, saham Sritex masih dalam status suspensi.","bei membuka kemungkinan untuk menghapus delisting emiten sril dari perdagangan bursa saat ini saham sritex masih dalam status suspensi"
"ekonomi","Kemnaker menjamin seluruh karyawan Sritex yang menjadi korban PHK mendapatkan hak pesangon dan Jaminan Kehilangan Pekerjaan (JKP).","kemnaker menjamin seluruh karyawan sritex yang menjadi korban phk mendapatkan hak pesangon dan jaminan kehilangan pekerjaan jkp"
"ekonomi","Dua pabrik yang akan tutup adalah PT Yamaha Music Product Asia di kawasan MM2100, Bekasi dan PT Yamaha Indonesia di Pulo Gadung, Jakarta.","dua pabrik yang akan tutup adalah pt yamaha music product asia di kawasan mm2100 bekasi dan pt yamaha indonesia di pulo gadung jakarta"
"ekonomi","Fokus terhadap pengelolaan risiko jangka panjang itu antara lain dilakukan BRI melalui penyediaan cadangan yang cukup guna menjaga kesolidan kinerja.","fokus terhadap pengelolaan risiko jangka panjang itu antara lain dilakukan bri melalui penyediaan cadangan yang cukup guna menjaga kesolidan kinerja"
"ekonomi","Sritex memecat seluruh karyawannya di Sukoharjo. Pemkab kini menyiapkan 8.000 lowongan dari perusahaan lain untuk para korban PHK Sritex.","sritex memecat seluruh karyawannya di sukoharjo pemkab kini menyiapkan lowongan dari perusahaan lain untuk para korban phk sritex"
"ekonomi","Direktur BRI Sunarso menjelaskan dua alasan yang saling berhubungan terkait layanan Bank Emas Pegadaian yang diharapkan dapat mendorong PDB.","direktur bri sunarso menjelaskan dua alasan yang saling berhubungan terkait layanan bank emas pegadaian yang diharapkan dapat mendorong pdb"
"ekonomi","Sritex didirikan pada 1966 di Pasar Klewer, Solo, Jateng. Raksasa tekstil ini pernah membuat seragam NATO, tetapi akhirnya tutup usai terlilit utang dan pailit.","sritex didirikan pada di pasar klewer solo jateng raksasa tekstil ini pernah membuat seragam nato tetapi akhirnya tutup usai terlilit utang dan pailit"
"ekonomi","Harga minyak turun karena pasar ketakutan perlambatan ekonomi dan tarif impor AS hingga rencana OPEC+ untuk meningkatkan pasokan.","harga minyak turun karena pasar ketakutan perlambatan ekonomi dan tarif impor as hingga rencana opec untuk meningkatkan pasokan"
"ekonomi","Sritex awalnya gagal membayar utang sehingga digugat PKPU oleh kreditur dan divonis pailit oleh pengadilan dan putusannya dikuatkan oleh MA.","sritex awalnya gagal membayar utang sehingga digugat pkpu oleh kreditur dan divonis pailit oleh pengadilan dan putusannya dikuatkan oleh ma"
"ekonomi","Antrean di SPBU Shell tampak mengular. SPBU swasta ini mendadak ramai dan jadi 'primadona' pilihan masyarakat usai mencuat isu BBM oplosan.","antrean di spbu shell tampak mengular spbu swasta ini mendadak ramai dan jadi primadona pilihan masyarakat usai mencuat isu bbm oplosan"
"ekonomi","Dirut ID Food Sis Apik berharap mendapat suntikan dana untuk mencapai swasembada pangan usai bergabung ke Danantara.","dirut id food sis apik berharap mendapat suntikan dana untuk mencapai swasembada pangan usai bergabung ke danantara"
"ekonomi","Badan Pemeriksa Keuangan (BPK) mengungkapkan uang negara selama ini ternyata banyak mengendap di bank.","badan pemeriksa keuangan bpk mengungkapkan uang negara selama ini ternyata banyak mengendap di bank"
"ekonomi","Sritex resmi menjadi milik kurator menyusul penutupan perusahaan pada Sabtu (1/3) besok. Seluruh karyawan di-PHK pada Rabu kemarin (26/2).","sritex resmi menjadi milik kurator menyusul penutupan perusahaan pada sabtu besok seluruh karyawan di phk pada rabu kemarin"
"ekonomi","Sebagian masyarakat mungkin tengah menanti kabar pendaftaran CPNS 2025 kapan dibuka. Ketahui perkiraan waktunya untuk bersiap-siap.","sebagian masyarakat mungkin tengah menanti kabar pendaftaran cpns kapan dibuka ketahui perkiraan waktunya untuk bersiap siap"
"ekonomi","Kemnaker mencatat karyawan yang terkena PHK massal Group Sritex mencapai 10 ribu. PHK terbanyak di pabrik Sukoharjo, yakni 8.504 buruh.","kemnaker mencatat karyawan yang terkena phk massal group sritex mencapai ribu phk terbanyak di pabrik sukoharjo yakni buruh"
"ekonomi","Nilai tukar rupiah dibuka melemah 0,59 persen ke Rp16.550 per dolar AS pada perdagangan pasar spot pada Jumat (28/2) pagi.","nilai tukar rupiah dibuka melemah persen ke rp16 per dolar as pada perdagangan pasar spot pada jumat pagi"
"ekonomi","Seluruh karyawan Sritex yang mencapai 8.400 orang terkena PHK pada Rabu (26/2) dan perusahaan akan tutup per 1 Maret 2025.","seluruh karyawan sritex yang mencapai orang terkena phk pada rabu dan perusahaan akan tutup per maret"
"ekonomi","Menteri Pariwisata (Menpar) Widiyanti Putri Wardhana melobi pihak hotel dan restoran agar tak melakukan pemutusan hubungan kerja (PHK) massal.","menteri pariwisata menpar widiyanti putri wardhana melobi pihak hotel dan restoran agar tak melakukan pemutusan hubungan kerja phk massal"
"ekonomi","Pemprov DKI Jakarta akan memperluas layanan transportasi umum gratis. Ada 15 golongan warga yang akan gratis naik Transjakarta, MRT dan LRT.","pemprov dki jakarta akan memperluas layanan transportasi umum gratis ada golongan warga yang akan gratis naik transjakarta mrt dan lrt"
"ekonomi","Cara cek lokasi faskes 1 BPJS Kesehatan tempat kita terdaftar cukup mudah. Peserta bisa mengeceknya secara online sehingga tak perlu repot ke kantor cabang.","cara cek lokasi faskes bpjs kesehatan tempat kita terdaftar cukup mudah peserta bisa mengeceknya secara online sehingga tak perlu repot ke kantor cabang"
