topik;contentSnippet;preprocessedContent
ekonomi;Upaya mendorong bertambahnya proyek-proyek baru energi baru dan terbarukan (EBT) diduga berjalan lambat akibat sulitnya mendapat pendanaan.;upaya dorong tambah proyekproyek baru energi baru baru ebt duga jalan lambat akibat sulit dapat dana
ekonomi;Pengamat menyebut prioritas utama perusahaan pailit adalah melunasi utang dengen menjual aset. Peluang investor mendapatkan kembali dana mereka sangat kecil.;amat sebut prioritas utama usaha pailit lunas utang dengen jual aset peluang investor dapat dana sangat kecil
ekonomi;Wali kota adalah jabatan yang bertanggung jawab atas pemerintahan daerah tingkat kota. Tahukah kamu, berapa besaran gaji wali kota dan tunjangannya sebulan?;wali kota jabat tanggung jawab atas perintah daerah tingkat kotatahukah kamu berapa besar gaji wali kota tunjang bulan
ekonomi;Rupiah ditutup di level Rp16.595 per dolar AS pada Jumat (28/2) turun 141 poin atau minus 0,86 persen dibandingkan penutupan perdagangan sebelumnya.;rupiah tutup level rp16595 per dolar as jumat 282 turun 141 poin minus 086 persen banding tutup dagang belum
ekonomi;Kementerian ESDM memastikan diskon 50 persen untuk token listrik tidak diperpanjang. Diskon hanya berlaku Januari-Februari 2025, sesuai rencana awal.;menteri esdm pasti diskon 50 persen token listrik panjang diskon laku januarifebruari 2025 sesuai rencana awal
ekonomi;Sejumlah petani merasa kehadiran Program MAKMUR membantu mereka dalam meningkatkan produktivitas hasil panen dan keuntungan.;jumlah tani rasa hadir program makmur bantu tingkat produktivitas hasil panen untung
ekonomi;Aturan baru agar petani dapat membeli pupuk subsidi yakni harus terdaftar dalam e-RDKK yang diperbarui setiap empat bulan sekali.;atur baru tani beli pupuk subsidi daftar erdkk baru empat bulan sekali
ekonomi;Peserta yang kehilangan kartu atau lupa kartu BPJS Kesehatannya, mungkin bertanya-tanya bolehkah cetak kartu BPJS sendiri.;serta hilang kartu lupa kartu bpjs sehat mungkin bertanyatanya boleh cetak kartu bpjs sendiri
ekonomi;Menko Perekonomian Airlangga Hartarto menyebut pemerintah telah mendelegasikan tugas masalah pailit Sritex kepada Menaker Yassierli.;menko ekonomi airlangga hartarto sebut perintah delegasi tugas masalah pailit sritex menaker yassierli
ekonomi;BEI membuka kemungkinan untuk menghapus (delisting) emiten SRIL dari perdagangan bursa. Saat ini, saham Sritex masih dalam status suspensi.;bei buka mungkin hapus delisting emiten sril dagang bursa saham sritex status suspensi
ekonomi;Kemnaker menjamin seluruh karyawan Sritex yang menjadi korban PHK mendapatkan hak pesangon dan Jaminan Kehilangan Pekerjaan (JKP).;kemnaker jamin seluruh karyawan sritex jadi korban phk dapat hak sangon jamin hilang kerja jkp
ekonomi;Dua pabrik yang akan tutup adalah PT Yamaha Music Product Asia di kawasan MM2100, Bekasi dan PT Yamaha Indonesia di Pulo Gadung, Jakarta.;pabrik tutup pt yamaha music product asia kawasan mm2100 bekas pt yamaha indonesia pulo gadung jakarta
ekonomi;Fokus terhadap pengelolaan risiko jangka panjang itu antara lain dilakukan BRI melalui penyediaan cadangan yang cukup guna menjaga kesolidan kinerja.;fokus kelola risiko jangka panjang laku bri lalu sedia cadang cukup jaga solid kerja
ekonomi;Sritex memecat seluruh karyawannya di Sukoharjo. Pemkab kini menyiapkan 8.000 lowongan dari perusahaan lain untuk para korban PHK Sritex.;sritex pecat seluruh karyawannya sukoharjo pemkab kini menyiapkan8000 lowong usaha korban phk sritex
ekonomi;Direktur BRI Sunarso menjelaskan dua alasan yang saling berhubungan terkait layanan Bank Emas Pegadaian yang diharapkan dapat mendorong PDB.;direktur bri sunarso jelas alas saling hubung kait layan bank emas gadai harap dorong pdb
ekonomi;Sritex didirikan pada 1966 di Pasar Klewer, Solo, Jateng. Raksasa tekstil ini pernah membuat seragam NATO, tetapi akhirnya tutup usai terlilit utang dan pailit.;sritex diri 1966 pasar klewer solo jateng raksasa tekstil pernah buat seragam nato akhir tutup usai lilit utang pailit
ekonomi;Harga minyak turun karena pasar ketakutan perlambatan ekonomi dan tarif impor AS hingga rencana OPEC+ untuk meningkatkan pasokan.;harga minyak turun pasar takut lambat ekonomi tarif impor as hingga rencana opec tingkat pasok
ekonomi;Sritex awalnya gagal membayar utang sehingga digugat PKPU oleh kreditur dan divonis pailit oleh pengadilan dan putusannya dikuatkan oleh MA.;sritex awal gagal bayar utang gugat pkpu kreditur vonis pailit adil putus kuat ma
ekonomi;Antrean di SPBU Shell tampak mengular. SPBU swasta ini mendadak ramai dan jadi 'primadona' pilihan masyarakat usai mencuat isu BBM oplosan.;antre spbu shell tampak ular spbu swasta dadak ramai jadi primadona pilih masyarakat usai cuat isu bbm oplos
ekonomi;Dirut ID Food Sis Apik berharap mendapat suntikan dana untuk mencapai swasembada pangan usai bergabung ke Danantara.;dirut id food sis apik harap dapat sunti dana capai swasembada pangan usai gabung danantara
ekonomi;Badan Pemeriksa Keuangan (BPK) mengungkapkan uang negara selama ini ternyata banyak mengendap di bank.;badan periksa uang bpk ungkap uang negara lama nyata banyak endap bank
ekonomi;Sritex resmi menjadi milik kurator menyusul penutupan perusahaan pada Sabtu (1/3) besok. Seluruh karyawan di-PHK pada Rabu kemarin (26/2).;sritex resmi jadi milik kurator susul tutup usaha sabtu 13 besok seluruh karyawan diphk rabu kemarin 262
ekonomi;Sebagian masyarakat mungkin tengah menanti kabar pendaftaran CPNS 2025 kapan dibuka. Ketahui perkiraan waktunya untuk bersiap-siap.;bagi masyarakat mungkin tengah nanti kabar pendaftarancpns 2025 kapan dibukaketahui kira waktu bersiapsiap
ekonomi;Kemnaker mencatat karyawan yang terkena PHK massal Group Sritex mencapai 10 ribu. PHK terbanyak di pabrik Sukoharjo, yakni 8.504 buruh.;kemnaker catat karyawan kena phk massal group sritex capai 10 ribu phk banyak pabrik sukoharjo 8504 buruh
ekonomi;Nilai tukar rupiah dibuka melemah 0,59 persen ke Rp16.550 per dolar AS pada perdagangan pasar spot pada Jumat (28/2) pagi.;nilai tukar rupiah buka lemah 059 persen rp16550 per dolar as dagang pasar spot jumat 282 pagi
ekonomi;Seluruh karyawan Sritex yang mencapai 8.400 orang terkena PHK pada Rabu (26/2) dan perusahaan akan tutup per 1 Maret 2025.;seluruh karyawan sritex capai 8400 orang kena phk rabu 262 usaha tutup per 1 maret 2025
ekonomi;Menteri Pariwisata (Menpar) Widiyanti Putri Wardhana melobi pihak hotel dan restoran agar tak melakukan pemutusan hubungan kerja (PHK) massal.;menteri pariwisata menpar widiyanti putri wardhana lobi pihak hotel restoran tak laku putus hubung kerja phk massal
ekonomi;Pemprov DKI Jakarta akan memperluas layanan transportasi umum gratis. Ada 15 golongan warga yang akan gratis naik Transjakarta, MRT dan LRT.;pemprov dki jakarta luas layan transportasi umum gratis 15 golong warga gratis naik transjakarta mrt lrt
ekonomi;Cara cek lokasi faskes 1 BPJS Kesehatan tempat kita terdaftar cukup mudah. Peserta bisa mengeceknya secara online sehingga tak perlu repot ke kantor cabang.;cara cek lokasi faskes 1 bpjs sehat tempat kitaterdaftarcukup mudah serta mengeceknyasecara online tak perlu repot kantor cabang
ekonomi;Diskon 50 persen token listrik PLN berakhir hari ini (28/2). Token tak akan hangus meski diinput pada masa promo berakhir.;diskon 50 persen token listrik pln akhir hari 282 token tak hangus meski diinput masa promo akhir
ekonomi;Kisah kelam Chernobyl hingga Fukushima membayangi ambisi bangun PLTN di 2032. Bahayanya dinilai tidak setara dengan iming-iming energi murah berbasis nuklir.;kisah kelam chernobyl hingga fukushima bayang ambisi bangun pltn 2032 bahaya nilai tara imingiming energi murah bas nuklir
